sample	Rx	sex	Nx	Na	Lx	La
A16119	0.918431086258	F	1031	19040	148823899	2512082506
A16120	0.972931760421	F	939	16317	148823899	2512082506
A16121	0.496978775382	M	575	19533	148823899	2512082506
A16122	0.465415896109	M	538	19552	148823899	2512082506
A16124	0.487491697217	M	553	19162	148823899	2512082506
A16128	0.477680860235	M	548	19390	148823899	2512082506
A16132	0.4700695448	M	542	19497	148823899	2512082506
A16134	0.440120560182	M	508	19552	148823899	2512082506
A16149	0.50039292189	M	578	19497	148823899	2512082506
A16150	0.527320370168	M	599	19143	148823899	2512082506
A16151	0.948624296482	F	1065	19008	148823899	2512082506
A16152	1.01751285152	F	355	5883	148823899	2512082506
A16153	0.476223860761	M	548	19451	148823899	2512082506
A16165	0.941739780357	F	1047	18831	148823899	2512082506
A16171	0.468526416724	M	542	19563	148823899	2512082506
A16172	0.502949936771	M	371	12449	148823899	2512082506
A17681	0.481540917576	M	557	19546	148823899	2512082506
A17682	0.510322703491	M	589	19470	148823899	2512082506
A17683	0.427593820713	M	493	19545	148823899	2512082506
A17684	0.442199350217	M	509	19496	148823899	2512082506
A17685	0.8942893271	F	1006	19107	148823899	2512082506
A17686	0.408342033832	M	465	19326	148823899	2512082506
A17688	0.447775696963	M	519	19625	148823899	2512082506
A17689	0.498590491213	M	575	19468	148823899	2512082506
A17690	0.878442036342	F	981	18986	148823899	2512082506
A17691	0.468432869071	M	532	19206	148823899	2512082506
A17692	0.464059825824	M	532	19392	148823899	2512082506
A17693	0.454350713213	M	525	19557	148823899	2512082506
A17694	0.500093194749	M	566	19104	148823899	2512082506
A18161	0.512561862274	M	593	19514	148823899	2512082506
A18162	0.495883104336	M	566	19271	148823899	2512082506
A18163	1.04158066035	F	1152	18623	148823899	2512082506
A18164	1.07238095222	F	1201	18823	148823899	2512082506
