Species	MaleCare	MaleProv	Monotocous	BodyMass	LitterSize	TeatRatio	NeonateMass	WeanMass	InterBirthInterval	LittersYear	AnnualFecundity
Sorex_araneus	0	0	0	9.18	6.56	1.1	0.42	8.36	44.56	2	13.12
Sorex_minutus	0	0	0	4.32	6.04	0.98	0.22	4.73		1.5	9.06
Sorex_unguiculatus	0	0	0	14.11	5.24	0.92				1.32	6.92
Speothos_venaticus	1	1	0	6324.54	3.8	0.48	157.5		247.94		
Spermophilus_parryii	0	0	0	747.09	6.5		11			1	6.5
Spilocuscus_maculatus	0	0	1	4060.46	1.26	0.25		1700	365		
Spilogale_putorius	0	0	0	566.49	5.07	0.64	12.29		243.33		
Suncus_etruscus	1	0	0	2.26	4		0.2	2.06		3.4	13.6
Suricata_suricatta	1	0	0	729.99	3.86	0.66	30.5	225.5	365	1	3.86
Sylvilagus_aquaticus	0	0	0	2133.34	3	0.38	55.7			2.94	8.82
Sylvilagus_floridanus	0	0	0	1207.19	4.62	0.58	34.15	112	30.45	4.81	22.22
Symphalangus_syndactylus	1	1	1	10839	1	0.5	517		1003.75		
Tadarida_brasiliensis	0	0	1	12.61	1.11		3.19	11.52		1	1.11
Tamias_striatus	0	0	0		4.7	0.59	3.4	50.5		1.57	7.38
Tamiasciurus_hudsonicus	0	0	0	200.24	3.93	0.49	6.89	96.82		1.75	6.88
Tarsipes_rostratus	0	0	0	9.66	2.93	0.65		4.31	122	3	8.79
Tarsius_bancanus	0	0	1	114.39	1	0.17	23.93		240.29		
Tarsius_syrichta	1	0	1	115.91	1.01	0.16	25.6				
Taxidea_taxus	0	0	0	7842.15	2.76	0.34	93.49		365		
Tenrec_ecaudatus	1	1	0	887.59	16.89	0.65	24.24	225		1	16.89
Theropithecus_gelada	0	0	1	15964.11	1.01		464.92	3736.05	766.5		
Thylogale_billardierii	0	0	1	5865.86	1		0.4	1727.45	284.5	1	1
Thylogale_stigmatica	0	0	1	4511.47	1	0.25			185		
Thylogale_thetis	0	0	1	5399.95	1			800	182		
Trachypithecus_johnii	0	0	1	10595.08	1.02						
Trachypithecus_obscurus	0	0	1	7247.88	1.01	0.5	339.18				
Trachypithecus_pileatus	0	0	1	11219.93							
Trichosurus_caninus	0	0	1	3115.06	1.02	0.5		757.06	363	1	1.02
Trichosurus_vulpecula	0	0	1	2685.39	1.02	0.5	0.2	675.27	273.87	1.5	1.53
Tylonycteris_pachypus	0	0	0	4.1	1.92		0.6	2.93		1	1.92
Tylonycteris_robustula	0	0	0	7.98	2		1.25	6.44		1	2
Uncia_uncia	0	0	0	32500	2.12		442.6		365		
Urocyon_cinereoargenteus	0	0	0	3833.71	3.71	0.62	103.68		365		
Uroderma_bilobatum	0	0	1	16.28	0.99			8.14		2	2
Ursus_americanus	0	0	0	110500	2.39	0.42	293.99		821.25		
Ursus_arctos	0	0	0	196287.5	2.24	0.5	499.99	26000	912.5		
Ursus_maritimus	0	0	0	371703.81	1.66	0.5	670.48	8500	831.67		
Ursus_thibetanus	0	0	0	99714.19	1.5		357.5		365		
Vampyressa_nymphaea	0	0	1	69	0.99						
Vampyrum_spectrum	1	1	1	171.61	1						
Varecia_variegata	0	0	0	3849.99	2.16	0.36	93.69		365		
Viverra_zibetha	0	0	0	9148.77	2.89				182.5	2	5.78
Vombatus_ursinus	0	0	1	26000	1		0.49	5700	730		
Vulpes_lagopus	1	1	0	3584.37	9	0.69	69.17		365	1	9
Vulpes_velox	1	1	0	2088	4.25	0.63	39.94		365		
Vulpes_vulpes	1	1	0	4820.36	4.59	0.57375	100.49	1487.48	365	1	4.59
Vulpes_zerda	1	1	0	1317.13	2.36		28.04		365	1	2.36
Wallabia_bicolor	0	0	1	14999.95	1.04		0.6		249.66	1.4	1.46
Wyulda_squamicaudata	0	0	1	1799.21	1.01	0.5			365	1	1.01
