CHROM	POS	area	nonzero sites	target depth	max depth	mean	shape
chr1	42542345	9252	232	84	92	39.879	0.172
chr26	46187668	8585	224	66	78	38.326	0.171
chr7	87038755	8512	224	74	82	38.000	0.170
chr4	26626207	14221	289	134	136	49.208	0.170
chr29	11155885	5689	183	54	58	31.087	0.170
chr14	59502754	10359	247	84	101	41.939	0.170
chr3	9658383	10152	245	84	97	41.437	0.169
chr3	84825929	6711	199	66	71	33.724	0.169
chr7	27973087	8831	229	81	89	38.563	0.168
chr3	72067474	10592	251	91	93	42.199	0.168
chr26	4248935	5089	174	50	55	29.247	0.168
chr18	64976705	7638	213	69	72	35.859	0.168
chr14	57367329	10024	244	84	102	41.082	0.168
chr19	60355532	10453	250	75	93	41.812	0.167
chr12	48645719	9599	240	86	88	39.996	0.167
chr1	142094978	10274	248	92	100	41.427	0.167
chr5	21922003	7597	214	76	78	35.500	0.166
chr24	36464130	7588	214	57	73	35.458	0.166
chr13	23610528	4144	158	46	47	26.228	0.166
chr27	1712238	8257	224	74	80	36.862	0.165
chr8	110042670	8155	223	71	76	36.570	0.164
chr8	103679032	6228	195	62	63	31.938	0.164
chr7	49811967	10097	248	84	99	40.714	0.164
chr6	17770345	6438	198	57	68	32.515	0.164
chr26	7375137	5972	191	46	59	31.267	0.164
chr21	27615554	13098	283	103	117	46.283	0.164
chr2	121573505	8914	233	80	83	38.258	0.164
chr21	10417946	7715	217	76	76	35.553	0.164
chr6	16877945	6321	197	60	64	32.086	0.163
chr5	26876851	10203	250	92	97	40.812	0.163
chr5	23171536	4999	175	46	46	28.566	0.163
chr23	11769429	7244	211	72	75	34.332	0.163
chr15	65923852	7896	220	77	77	35.891	0.163
chr6	53022828	6356	198	58	58	32.101	0.162
chr21	13633070	7915	221	68	74	35.814	0.162
chr8	74336310	8469	229	84	84	36.983	0.161
chr8	108492194	10219	252	80	96	40.552	0.161
chr6	31275686	4987	176	51	56	28.335	0.161
chr19	45865386	9301	240	85	94	38.754	0.161
chr8	70093415	7525	217	67	77	34.677	0.160
chr5	62435306	6317	199	65	66	31.744	0.160
chr3	102775858	5612	187	54	57	30.011	0.160
chr24	10343061	7952	223	68	77	35.659	0.160
chr1	90895300	5119	179	54	54	28.598	0.160
chr12	55217409	8052	224	64	79	35.946	0.160
chr10	59384120	9314	241	70	85	38.647	0.160
chr10	47689395	9734	247	89	91	39.409	0.160
chr29	17460678	7165	212	63	68	33.797	0.159
chr19	16700028	10043	251	87	90	40.012	0.159
chr1	78763253	14015	297	114	126	47.189	0.159
chr1	52719659	7852	222	77	79	35.369	0.159
chr14	10516672	9639	246	88	90	39.183	0.159
chr8	10723863	7949	224	71	77	35.487	0.158
chr4	95388889	11409	269	94	109	42.413	0.158
chr3	43797495	7242	214	63	66	33.841	0.158
chr26	26296159	9027	239	83	89	37.770	0.158
chr25	6742259	11214	266	93	101	42.158	0.158
chr22	17044214	10282	255	90	94	40.322	0.158
chr29	36188415	9492	246	80	88	38.585	0.157
chr26	28689704	9979	252	94	96	39.599	0.157
chr23	4781750	9039	240	85	85	37.663	0.157
chr1	95297193	7276	215	61	69	33.842	0.157
chr5	25775984	6688	207	65	68	32.309	0.156
chr24	42325204	5736	192	52	57	29.875	0.156
chr20	17175070	8680	236	71	79	36.780	0.156
chr8	10909675	9472	247	93	93	38.348	0.155
chr6	118661664	7870	225	67	73	34.978	0.155
chr4	36345270	7314	217	69	72	33.705	0.155
chr3	24336035	4371	168	41	42	26.018	0.155
chr24	28425788	7479	220	68	71	33.995	0.155
chr8	42460981	9385	247	72	96	37.996	0.154
chr4	22180213	12182	281	119	129	43.352	0.154
chr3	18575517	9301	246	83	88	37.809	0.154
chr24	52292036	6280	202	61	62	31.089	0.154
chr20	21796392	4658	174	46	46	26.770	0.154
chr19	6822435	5041	181	49	52	27.851	0.154
chr16	30605701	11412	272	97	105	41.956	0.154
chr1	52135064	5209	184	49	51	28.310	0.154
chr14	64512417	6671	208	64	64	32.072	0.154
chr11	87972078	8885	240	70	84	37.021	0.154
chr7	81910677	7480	221	65	69	33.846	0.153
chr7	39172212	8727	239	78	91	36.515	0.153
chr6	74445065	7083	215	66	66	32.944	0.153
chr6	17456424	9114	244	86	88	37.352	0.153
chr20	2159883	5702	193	58	58	29.544	0.153
chr1	95213010	8449	235	78	81	35.953	0.153
chr13	30310252	7455	221	65	65	33.733	0.153
chr3	78998336	8311	234	67	76	35.517	0.152
chr28	717379	6017	199	52	59	30.236	0.152
chr2	7892192	7206	218	60	66	33.055	0.152
chr16	13981763	8032	230	74	77	34.922	0.152
chr11	83867858	6144	201	60	63	30.567	0.152
chr8	4708632	10346	262	88	99	39.489	0.151
chr8	11307969	8405	236	74	77	35.614	0.151
chr6	103056414	6235	203	55	59	30.714	0.151
chr4	56761232	5606	193	51	59	29.047	0.151
chr24	11888699	6041	200	57	58	30.205	0.151
chr20	54507749	5935	198	60	61	29.975	0.151
chr16	22101901	7993	230	81	81	34.752	0.151
chr11	9288131	7734	226	74	77	34.221	0.151
chr9	100656794	8268	235	62	79	35.183	0.150
chr6	80664739	8368	236	80	82	35.458	0.150
chr6	34967749	13383	299	123	135	44.759	0.150
chr3	64160231	9130	247	85	86	36.964	0.150
chr25	24760604	11953	282	106	111	42.387	0.150
chr12	85884021	6365	206	60	61	30.898	0.150
chr9	97050333	10073	260	91	92	38.742	0.149
chr5	32627249	11929	283	83	93	42.152	0.149
chr25	35342490	5165	186	38	49	27.769	0.149
chr24	37732966	8206	235	78	79	34.919	0.149
chr17	67882287	5945	200	57	57	29.725	0.149
chr17	3228061	6213	204	63	65	30.456	0.149
chr5	43940764	8839	244	83	84	36.225	0.148
chr2	79388082	9749	257	83	88	37.934	0.148
chr17	14044441	4742	179	41	49	26.492	0.148
chr15	77590400	17086	340	127	131	50.253	0.148
chr1	153249282	13552	303	121	124	44.726	0.148
chr9	63839778	7041	219	67	68	32.151	0.147
chr8	87859948	7248	222	68	68	32.649	0.147
chr7	57357438	10742	270	90	98	39.785	0.147
chr5	75757550	4061	166	41	41	24.464	0.147
chr5	24628071	3488	154	40	40	22.649	0.147
chr4	15029332	11351	278	96	111	40.831	0.147
chr26	756488	8385	239	69	83	35.084	0.147
chr24	36432833	6744	214	70	70	31.514	0.147
chr1	98196331	15476	324	102	120	47.765	0.147
chr1	62124385	7222	222	59	70	32.532	0.147
chr1	27034489	6942	217	71	71	31.991	0.147
chr3	14884968	4120	168	29	41	24.524	0.146
chr29	47944960	4718	180	50	51	26.211	0.146
chr25	17483779	6617	213	53	70	31.066	0.146
chr24	30206722	8674	244	83	94	35.549	0.146
chr21	46877051	6559	212	60	64	30.939	0.146
chr20	64448030	9292	252	81	95	36.873	0.146
chr14	9812154	5604	196	53	55	28.592	0.146
chr1	107284448	9997	262	85	85	38.156	0.146
chr5	73976635	6439	211	64	66	30.517	0.145
chr3	114962664	8586	243	83	84	35.333	0.145
chr29	23600320	8221	238	55	81	34.542	0.145
chr24	19237133	12661	296	92	120	42.774	0.145
chr2	20136164	6876	218	67	72	31.541	0.145
chr1	84321229	5110	188	52	53	27.181	0.145
chr12	56953522	5060	187	52	53	27.059	0.145
chr11	92594517	3843	163	40	40	23.577	0.145
chr5	62832680	5925	203	51	56	29.187	0.144
chr3	1223440	5045	187	46	49	26.979	0.144
chr20	8757678	6333	210	58	58	30.157	0.144
chr1	64525173	5145	189	51	51	27.222	0.144
chr14	45601727	5258	191	45	49	27.529	0.144
chr9	53355111	8160	239	76	77	34.142	0.143
chr7	62431360	8867	249	86	88	35.610	0.143
chr6	88822265	6532	214	59	62	30.523	0.143
chr6	8344353	7581	230	63	77	32.961	0.143
chr4	58072286	7891	235	66	71	33.579	0.143
chr26	26433406	8330	241	78	79	34.564	0.143
chr24	34876100	6607	215	57	67	30.730	0.143
chr22	20748751	9836	262	83	91	37.542	0.143
chr1	97515883	6677	216	50	65	30.912	0.143
chr11	79092689	14959	323	123	123	46.313	0.143
chr6	21884445	3719	162	38	38	22.957	0.142
chr6	113410904	12402	296	88	122	41.899	0.142
chr5	62493150	7695	233	81	81	33.026	0.142
chr5	105189568	10784	276	96	103	39.072	0.142
chr2	74548517	6996	222	70	72	31.514	0.142
chr25	2823457	4860	185	50	50	26.270	0.142
chr1	66483742	4308	174	39	42	24.759	0.142
chr15	18605767	7706	233	71	71	33.073	0.142
chr1	51376524	9822	263	85	87	37.346	0.142
chr10	21329316	9909	264	80	84	37.534	0.142
chr6	26821866	8403	244	82	83	34.439	0.141
chr4	10715104	7867	236	70	77	33.335	0.141
chr3	44901461	5380	195	53	53	27.590	0.141
chr3	112542496	9892	265	83	89	37.328	0.141
chr27	8927448	4633	181	55	56	25.597	0.141
chr23	12548840	6275	211	65	65	29.739	0.141
chr1	70907935	8678	248	73	75	34.992	0.141
chr15	62428147	7800	235	79	80	33.191	0.141
chr15	56482147	7897	237	74	76	33.321	0.141
chr14	6795859	6333	212	61	61	29.873	0.141
chr1	154506865	5798	203	41	55	28.562	0.141
chr10	98588492	7261	227	69	69	31.987	0.141
chr10	2013046	8596	247	71	77	34.802	0.141
chr10	18921164	8167	241	67	71	33.888	0.141
chr7	63324944	5653	201	43	58	28.124	0.140
chr4	4564218	5729	202	55	56	28.361	0.140
chr28	6958437	7034	224	66	67	31.402	0.140
chr2	53079517	6353	213	66	67	29.826	0.140
chr2	13941523	6854	221	63	67	31.014	0.140
chr15	67269655	6768	220	65	67	30.764	0.140
chr14	61848461	7601	233	56	69	32.622	0.140
chr14	11736524	5054	190	51	51	26.600	0.140
chr1	157656357	10733	277	98	100	38.747	0.140
chr1	103185338	6753	220	61	64	30.695	0.140
chr6	28181354	7925	239	61	75	33.159	0.139
chr4	10036039	6603	218	51	65	30.289	0.139
chr3	87834930	8233	243	66	81	33.881	0.139
chr24	45665282	10654	277	89	96	38.462	0.139
chr21	25057519	5899	206	58	60	28.636	0.139
chr1	93375719	6897	223	61	66	30.928	0.139
chr19	26582763	6617	218	67	67	30.353	0.139
chr1	52874727	8831	252	85	85	35.044	0.139
chr15	24518630	5246	194	48	52	27.041	0.139
chr11	74983747	5655	202	44	57	27.995	0.139
chr11	46563365	6194	211	60	60	29.355	0.139
chr11	28032516	8608	249	81	81	34.570	0.139
chr10	67938057	8571	248	55	82	34.560	0.139
chr8	38925411	4584	182	45	45	25.187	0.138
chr5	14044363	7048	226	68	68	31.186	0.138
chr3	8716141	7496	233	67	73	32.172	0.138
chr2	42772589	4360	178	47	47	24.494	0.138
chr21	31443164	4622	183	48	50	25.257	0.138
chr16	68069138	6996	225	60	68	31.093	0.138
chr1	43569659	8472	248	72	83	34.161	0.138
chr12	86426255	6162	211	58	58	29.204	0.138
chr1	2415017	7261	229	67	73	31.707	0.138
chr11	11715680	7793	238	68	79	32.744	0.138
chr9	69895003	7880	240	74	76	32.833	0.137
chr9	44713802	5590	202	51	52	27.673	0.137
chr6	51361031	4643	184	46	47	25.234	0.137
chr5	106296859	8893	255	80	81	34.875	0.137
chr2	44264948	6369	216	56	60	29.486	0.137
chr21	57731220	7042	227	68	71	31.022	0.137
chr21	36918665	6000	209	47	57	28.708	0.137
chr16	8486466	7070	227	66	68	31.145	0.137
chr15	8180826	5748	205	58	58	28.039	0.137
chr1	31239592	7899	240	72	75	32.912	0.137
chr11	9420151	7544	235	51	82	32.102	0.137
chr11	8943840	5694	204	54	54	27.912	0.137
chr27	25555088	9776	268	89	89	36.478	0.136
chr26	38443688	8889	256	81	81	34.723	0.136
chr2	38034833	6570	220	63	63	29.864	0.136
chr1	98238088	4904	190	49	49	25.811	0.136
chr1	97746134	7020	227	71	71	30.925	0.136
chr17	26010338	7938	242	71	73	32.802	0.136
chr15	65285385	10754	281	95	100	38.270	0.136
chr15	35051578	7010	227	55	64	30.881	0.136
chr13	31153535	7581	236	61	70	32.123	0.136
chr12	78694445	7526	235	67	77	32.026	0.136
chr11	67421418	5386	199	52	54	27.065	0.136
chr10	96811801	8619	252	70	80	34.202	0.136
chr8	37081127	7892	242	75	77	32.612	0.135
chr5	16522965	4985	192	42	47	25.964	0.135
chr5	15024271	8906	257	89	91	34.654	0.135
chr4	36928224	5629	204	49	52	27.593	0.135
chr3	17160056	6908	226	63	65	30.566	0.135
chr28	32398752	3119	152	29	32	20.520	0.135
chr25	1365840	7070	229	70	71	30.873	0.135
chr23	48856080	8771	255	80	81	34.396	0.135
chr23	47175086	7081	229	71	74	30.921	0.135
chr23	42621003	7332	233	59	67	31.468	0.135
chr22	14022498	9717	268	89	96	36.257	0.135
chr17	5191622	8247	247	70	75	33.389	0.135
chr1	50359828	10112	274	92	93	36.905	0.135
chr10	80567843	4510	183	48	48	24.645	0.135
chr9	28954784	8400	250	64	77	33.600	0.134
chr7	83057325	7085	230	64	66	30.804	0.134
chr5	17016268	3208	155	37	37	20.697	0.134
chr4	12144708	4166	176	42	42	23.670	0.134
chr3	16881295	6405	219	61	65	29.247	0.134
chr2	76637667	4334	180	44	44	24.078	0.134
chr27	27644291	7990	244	65	75	32.746	0.134
chr27	26120365	8051	245	73	74	32.861	0.134
chr26	29951747	6652	223	63	67	29.830	0.134
chr23	29358847	8490	252	84	84	33.690	0.134
chr19	31638452	9759	270	77	91	36.144	0.134
chr19	23220365	6086	213	51	60	28.573	0.134
chr13	8737252	7314	234	67	67	31.256	0.134
chr8	107982567	9245	264	82	92	35.019	0.133
chr7	55209305	7815	242	72	74	32.293	0.133
chr5	86333886	4513	184	39	48	24.527	0.133
chr3	97132441	8865	258	79	89	34.360	0.133
chr2	69438525	8402	251	73	77	33.474	0.133
chr26	16888207	8071	246	71	72	32.809	0.133
chr25	21043602	7854	243	66	69	32.321	0.133
chr22	11756782	7368	235	63	69	31.353	0.133
chr17	12338762	6434	220	46	63	29.245	0.133
chr1	59614491	6100	214	55	58	28.505	0.133
chr15	16017840	6991	229	68	68	30.528	0.133
chr1	28978222	8980	260	85	89	34.538	0.133
chr1	158037464	6418	220	66	66	29.173	0.133
chr11	28777055	6481	221	60	63	29.326	0.133
chr9	18008700	10067	276	86	95	36.475	0.132
chr6	44672691	7577	240	67	77	31.571	0.132
chr5	83926145	6967	230	57	68	30.291	0.132
chr4	76545015	10308	279	87	96	36.946	0.132
chr4	74497833	8244	250	76	81	32.976	0.132
chr2	57800823	5751	209	53	53	27.517	0.132
chr2	47339482	9414	267	74	79	35.258	0.132
chr22	10876924	8710	257	78	78	33.891	0.132
chr2	14360004	3557	164	34	36	21.689	0.132
chr20	15999469	7408	237	70	70	31.257	0.132
chr13	902753	5967	213	58	58	28.014	0.132
chr9	82276521	6348	220	63	64	28.855	0.131
chr8	70613050	3226	157	37	37	20.548	0.131
chr6	113538489	9817	274	92	95	35.828	0.131
chr5	67153682	5949	213	44	51	27.930	0.131
chr4	15947177	5646	208	50	58	27.144	0.131
chr4	113584922	4769	191	49	50	24.969	0.131
chr3	86467403	8664	257	73	75	33.712	0.131
chr3	35287457	6078	215	49	59	28.270	0.131
chr3	26949195	7503	239	63	68	31.393	0.131
chr3	106293025	6465	222	59	60	29.122	0.131
chr2	71209252	7290	236	60	66	30.890	0.131
chr26	34537949	8753	258	80	85	33.926	0.131
chr25	33920842	4104	177	45	45	23.186	0.131
chr23	29213374	9946	276	77	83	36.036	0.131
chr20	67959002	5025	196	51	51	25.638	0.131
chr1	99997408	8290	252	79	84	32.897	0.131
chr1	97906441	7937	246	63	71	32.264	0.131
chr17	476062	9283	266	94	94	34.898	0.131
chr17	37234777	7354	237	66	66	31.030	0.131
chr13	74944490	3352	160	29	37	20.950	0.131
chr12	78606842	8459	254	64	81	33.303	0.131
chr12	23796101	4089	177	32	43	23.102	0.131
chr12	17035781	6444	222	65	65	29.027	0.131
chr11	94605513	9985	276	97	97	36.178	0.131
chr10	66397794	3261	158	37	37	20.639	0.131
chr8	54734727	6240	219	59	59	28.493	0.130
chr8	41052216	6464	223	54	62	28.987	0.130
chr7	30293549	6221	219	49	57	28.406	0.130
chr5	62394446	6546	224	59	60	29.223	0.130
chr3	10462386	10323	282	99	102	36.606	0.130
chr25	5007706	7671	243	67	69	31.568	0.130
chr22	55988936	5037	197	46	52	25.569	0.130
chr1	67115283	6499	224	58	62	29.013	0.130
chr16	10308239	8035	249	60	68	32.269	0.130
chr14	77853125	5456	205	53	54	26.615	0.130
chr14	20089568	9998	277	95	96	36.094	0.130
chr13	42230720	6457	223	59	60	28.955	0.130
chr13	29772454	5052	197	47	49	25.645	0.130
chr12	53870613	4042	176	40	42	22.966	0.130
chr10	51001409	4488	186	46	49	24.129	0.130
chr6	102937468	5751	211	55	57	27.256	0.129
chr5	82335856	7601	243	68	72	31.280	0.129
chr5	77177827	4966	196	47	49	25.337	0.129
chr4	21854601	4413	185	44	44	23.854	0.129
chr3	10876414	9837	276	98	98	35.641	0.129
chr2	53951532	5645	209	50	51	27.010	0.129
chr22	33665697	5216	201	50	50	25.950	0.129
chr20	40035915	4661	190	47	48	24.532	0.129
chr15	64214142	8960	264	85	86	33.939	0.129
chr14	68817603	5681	210	59	60	27.052	0.129
chr1	108154056	5223	201	51	54	25.985	0.129
chr9	81009333	7971	250	71	74	31.884	0.128
chr8	30772013	5967	216	54	59	27.625	0.128
chr6	72301043	5208	202	46	49	25.782	0.128
chr6	40530399	10384	285	90	98	36.435	0.128
chr5	93567345	5269	203	55	55	25.956	0.128
chr5	104714349	8043	251	60	79	32.044	0.128
chr2	88698627	4826	194	46	47	24.876	0.128
chr21	52771583	7217	237	66	67	30.451	0.128
chr18	24980983	5083	199	53	55	25.543	0.128
chr1	70343368	5346	204	53	53	26.206	0.128
chr16	55010418	6141	219	60	61	28.041	0.128
chr11	95568109	4062	178	42	42	22.820	0.128
chr1	109007792	6401	224	56	61	28.576	0.128
chr8	39745400	12537	314	97	100	39.927	0.127
chr6	49205248	8367	257	71	79	32.556	0.127
chr3	104163829	6871	233	65	69	29.489	0.127
chr28	44022922	6683	229	66	66	29.183	0.127
chr28	40993535	5321	205	50	50	25.956	0.127
chr26	32670960	6660	229	59	59	29.083	0.127
chr26	25355924	7430	242	72	72	30.702	0.127
chr26	22215514	6045	218	61	65	27.729	0.127
chr2	5276520	3534	167	37	37	21.162	0.127
chr22	55639414	2673	145	28	29	18.434	0.127
chr21	41885780	7891	249	73	77	31.691	0.127
chr18	39480386	5821	214	55	57	27.201	0.127
chr1	76416853	5819	214	58	58	27.192	0.127
chr17	59043405	6216	221	61	61	28.127	0.127
chr15	61341538	6585	228	61	68	28.882	0.127
chr15	28497907	3136	157	35	35	19.975	0.127
chr1	48394373	6093	219	54	56	27.822	0.127
chr14	64480625	6085	219	57	61	27.785	0.127
chr1	36595967	6626	228	68	68	29.061	0.127
chr12	34505805	5565	209	44	55	26.627	0.127
chr10	3123962	4945	197	50	51	25.102	0.127
chr10	26431630	5347	205	49	55	26.083	0.127
chr7	73425803	8156	254	72	77	32.110	0.126
chr5	101395565	5146	202	50	50	25.475	0.126
chr4	86058681	5129	202	50	50	25.391	0.126
chr3	44930071	5965	218	54	59	27.362	0.126
chr2	60985929	11705	305	100	110	38.377	0.126
chr25	4779973	4948	198	47	47	24.990	0.126
chr25	15035074	4750	194	48	48	24.485	0.126
chr2	35610172	6657	230	62	62	28.943	0.126
chr22	34127589	4628	192	45	45	24.104	0.126
chr2	23379653	7798	249	79	81	31.317	0.126
chr22	11159198	10375	287	95	96	36.150	0.126
chr2	16717334	5125	202	47	50	25.371	0.126
chr21	56037001	5887	216	45	59	27.255	0.126
chr21	19347139	6149	221	65	66	27.824	0.126
chr2	108770659	5883	216	61	64	27.236	0.126
chr19	32845345	9685	277	83	92	34.964	0.126
chr1	78449547	9309	272	74	88	34.224	0.126
chr17	2241542	8972	267	85	86	33.603	0.126
chr13	59616069	6426	226	47	58	28.434	0.126
chr10	6003239	6111	220	54	57	27.777	0.126
chr7	42460305	5674	213	55	56	26.638	0.125
chr6	113942039	6936	236	62	67	29.390	0.125
chr5	97316070	8447	260	83	84	32.488	0.125
chr5	87843518	5798	215	52	52	26.967	0.125
chr5	68363300	8903	267	69	82	33.345	0.125
chr4	70508945	7548	246	73	73	30.683	0.125
chr4	67797929	6824	234	57	63	29.162	0.125
chr3	97883927	8513	261	82	85	32.617	0.125
chr3	114995891	5182	204	45	51	25.402	0.125
chr27	43390958	9271	272	88	90	34.085	0.125
chr23	45347762	5959	218	58	59	27.335	0.125
chr2	23477637	9839	281	74	81	35.014	0.125
chr2	103006805	6539	229	61	61	28.555	0.125
chr20	68403700	6730	232	62	63	29.009	0.125
chr18	19979747	6655	231	48	62	28.810	0.125
chr1	74282461	7149	239	65	65	29.912	0.125
chr16	65853621	7312	242	69	72	30.215	0.125
chr15	22771788	8671	263	81	81	32.970	0.125
chr14	62025583	4041	180	39	43	22.450	0.125
chr14	24437777	9726	279	88	92	34.860	0.125
chr13	67467904	8613	263	82	87	32.749	0.125
chr13	60558888	6843	234	61	62	29.244	0.125
chr13	11879233	7873	251	59	69	31.367	0.125
chr12	32395752	7220	240	65	66	30.083	0.125
chr1	153326271	7174	240	70	71	29.892	0.125
chr1	152245008	4936	199	48	50	24.804	0.125
chr10	57634235	6360	226	56	68	28.142	0.125
chr9	16231314	4251	185	41	42	22.978	0.124
chr8	3501340	5551	212	54	54	26.184	0.124
chr8	104971313	5099	203	48	50	25.118	0.124
chr7	6010778	4751	196	38	42	24.240	0.124
chr6	116072848	6162	223	51	59	27.632	0.124
chr6	103752355	5057	202	43	48	25.035	0.124
chr5	96266780	6277	225	57	61	27.898	0.124
chr5	81500112	6630	231	63	64	28.701	0.124
chr4	40173196	4945	200	48	48	24.725	0.124
chr26	28544400	7984	254	66	69	31.433	0.124
chr2	59569006	5331	207	48	48	25.754	0.124
chr2	52778207	10477	291	89	91	36.003	0.124
chr22	41934246	5029	201	42	48	25.020	0.124
chr22	3249037	9891	283	84	84	34.951	0.124
chr20	68906208	7542	247	55	71	30.534	0.124
chr17	12691013	3363	165	33	34	20.382	0.124
chr13	6350038	2781	150	17	29	18.540	0.124
chr12	77379756	8373	260	70	73	32.204	0.124
chr11	92963715	9854	282	92	97	34.943	0.124
chr10	47842704	6821	235	62	66	29.026	0.124
chr9	102615966	7080	240	58	63	29.500	0.123
chr8	77514376	6806	235	58	65	28.962	0.123
chr8	22848836	4343	188	41	42	23.101	0.123
chr7	50741323	7535	248	69	71	30.383	0.123
chr5	67344892	6012	221	50	55	27.204	0.123
chr5	66040454	7213	242	62	70	29.806	0.123
chr3	79800651	5434	210	54	54	25.876	0.123
chr29	32070761	8095	257	69	70	31.498	0.123
chr25	6862371	6108	223	59	62	27.390	0.123
chr24	15447770	6180	224	56	57	27.589	0.123
chr21	66258466	4818	198	45	48	24.333	0.123
chr2	117022468	5035	202	50	51	24.926	0.123
chr20	999862	7034	239	73	73	29.431	0.123
chr18	7868942	6393	228	46	65	28.039	0.123
chr17	9807700	6457	229	60	60	28.197	0.123
chr1	57752343	4442	190	46	47	23.379	0.123
chr9	10180170	5754	217	55	55	26.516	0.122
chr8	66526861	7614	250	77	85	30.456	0.122
chr7	109595865	5788	218	50	54	26.550	0.122
chr5	101423414	8568	265	86	88	32.332	0.122
chr4	56479029	5705	216	52	54	26.412	0.122
chr4	37169906	5068	204	39	48	24.843	0.122
chr3	27501556	4821	199	43	43	24.226	0.122
chr3	109256428	5325	209	44	50	25.478	0.122
chr27	35057300	7056	240	55	66	29.400	0.122
chr27	11950906	6403	229	56	57	27.961	0.122
chr2	65469390	7058	241	63	65	29.286	0.122
chr24	22746290	6088	223	58	60	27.300	0.122
chr23	31354654	7538	249	60	65	30.273	0.122
chr21	10456994	7876	254	82	83	31.008	0.122
chr2	1066918	7974	256	71	72	31.148	0.122
chr17	42942205	7045	240	69	74	29.354	0.122
chr16	65005570	1648	116	18	19	14.207	0.122
chr12	80664886	8865	270	80	84	32.833	0.122
chr12	77746795	6911	238	59	67	29.038	0.122
chr12	44109686	6993	239	42	70	29.259	0.122
chr10	82546241	7794	253	66	73	30.806	0.122
chr10	72060560	7965	256	59	73	31.113	0.122
chr9	33542048	4353	190	36	45	22.911	0.121
chr9	2934963	4400	191	38	45	23.037	0.121
